Sulawesi Selatan,SMA,Laki-laki,0,0
Sumatera Selatan,SMA,Laki-laki,0,0
Jakarta,SMA,Laki-laki,0,0
Lampung,SMA,Laki-laki,0,0
Nusa Tenggara Timur,SMA,Laki-laki,0,0
Riau,SMA,Laki-laki,0,0
Sumatera Barat,SMA,Laki-laki,0,0
Kalimantan Barat,SMA,Laki-laki,0,0
Aceh,SMA,Laki-laki,0,0
Nusa Tenggara Barat,SMA,Laki-laki,0,0
Bali,SMA,Laki-laki,0,0
Kalimantan Timur,SMA,Laki-laki,0,0
Papua,SMA,Laki-laki,0,0
Jambi,SMA,Laki-laki,0,0
Kalimantan Selatan,SMA,Laki-laki,0,0
Yogyakarta,SMA,Laki-laki,0,0
Sulawesi Tengah,SMA,Laki-laki,0,0
Sulawesi Tenggara,SMA,Laki-laki,0,0
Kalimantan Tengah,SMA,Laki-laki,0,0
Sulawesi Utara,SMA,Laki-laki,0,0
Maluku,SMA,Laki-laki,0,0
Kepulauan Riau,SMA,Laki-laki,0,0
Bengkulu,SMA,Laki-laki,0,0
Kepulauan Bangka Belitung,SMA,Laki-laki,0,0
Sulawesi Barat,SMA,Laki-laki,0,0
Maluku Utara,SMA,Laki-laki,0,0
Papua Barat,SMA,Laki-laki,0,0
Gorontalo,SMA,Laki-laki,0,0
Kalimantan Utara,SMA,Laki-laki,0,0
Luar Negeri,SMA,Laki-laki,0,0
Jawa Barat,SMK,Perempuan,0,0
Jawa Timur,SMK,Perempuan,0,0
Jawa Tengah,SMK,Perempuan,0,0
Sumatera Utara,SMK,Perempuan,0,0
Banten,SMK,Perempuan,0,0
Sulawesi Selatan,SMK,Perempuan,0,0
Sumatera Selatan,SMK,Perempuan,0,0
Jakarta,SMK,Perempuan,0,0
Lampung,SMK,Perempuan,0,0
Nusa Tenggara Timur,SMK,Perempuan,0,0
Riau,SMK,Perempuan,0,0
Sumatera Barat,SMK,Perempuan,0,0
Kalimantan Barat,SMK,Perempuan,0,0
Aceh,SMK,Perempuan,0,0
Nusa Tenggara Barat,SMK,Perempuan,0,0
Bali,SMK,Perempuan,0,0
Kalimantan Timur,SMK,Perempuan,0,0
Papua,SMK,Perempuan,0,0
Jambi,SMK,Perempuan,0,0
Kalimantan Selatan,SMK,Perempuan,0,0
Yogyakarta,SMK,Perempuan,0,0
Sulawesi Tengah,SMK,Perempuan,0,0
Sulawesi Tenggara,SMK,Perempuan,0,0
Kalimantan Tengah,SMK,Perempuan,0,0
Sulawesi Utara,SMK,Perempuan,0,0
Maluku,SMK,Perempuan,0,0
Kepulauan Riau,SMK,Perempuan,0,0
Bengkulu,SMK,Perempuan,0,0
Kepulauan Bangka Belitung,SMK,Perempuan,0,0
